epoch,train_step,valid_loss,best_val_ppl,optimizer,lr
1,1000,1.3152293837437892,3.7256054805768173,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.0001961225281116712
1,2000,1.2601172562229306,3.5258348892097247,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00018836758433501358
1,3000,1.2061068160484916,3.340454301153844,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00018061264055835595
1,4000,1.2377719179510254,3.340454301153844,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00017285769678169834
1,5000,1.1892027652580035,3.284461676374137,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00016510275300504073
2,6000,1.2068613050633097,3.342975588250671,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.0001573478092283831
2,7000,1.1934251741901651,3.2983593368485247,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.0001495928654517255
2,8000,1.2272675721204445,3.2983593368485247,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00014183792167506785
2,9000,1.184459754737885,3.2689203256202637,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00013408297789841025
2,10000,1.179751392122205,3.2535652403869313,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00012632803412175264
3,11000,1.1588849777432337,3.18637841176046,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.000118573090345095
3,12000,1.1815807732102805,3.18637841176046,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00011081814656843738
3,13000,1.168968834263617,3.18637841176046,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00010306320279177977
3,14000,1.1669655516233346,3.18637841176046,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",9.530825901512215e-05
3,15000,1.1525619001931524,3.1662942577066526,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",8.755331523846453e-05
4,16000,1.1584000486676416,3.184833618810539,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",7.979837146180691e-05
4,17000,1.1618499965343165,3.184833618810539,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",7.204342768514929e-05
4,18000,1.156252051129529,3.1779999460216852,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",6.428848390849167e-05
4,19000,1.1528623386554113,3.1672456771988453,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",5.653354013183405e-05
4,20000,1.1376414336008978,3.119402364397883,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",4.877859635517643e-05
4,21000,1.134572040162062,3.109842370444401,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",4.102365257851881e-05
5,22000,1.139156866435931,3.124133192887611,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",3.3268708801861186e-05
5,23000,1.1350694932298708,3.1113897559158956,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",2.5513765025203567e-05
5,24000,1.1326250507406992,3.103793430768663,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",1.775882124854595e-05
5,25000,1.1308499969133776,3.098288917209401,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",1.000387747188833e-05
5,26000,1.126897247278527,3.0860663291525188,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",2.24893369523071e-06
