epoch,train_step,valid_loss,best_val_ppl,optimizer,lr
1,1000,1.433595154230317,4.193749297515321,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.0001961225281116712
1,2000,1.3091901900017098,3.7031736305946468,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00018836758433501358
1,3000,1.2907073517164138,3.63535712259864,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00018061264055835595
1,4000,1.2672327680844966,3.551012478674637,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00017285769678169834
1,5000,1.243036663236275,3.4661229479345432,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00016510275300504073
2,6000,1.229880623570452,3.4208211464995095,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.0001573478092283831
2,7000,1.2298541313471043,3.4207305225420845,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.0001495928654517255
2,8000,1.20737076805879,3.3446791445202715,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00014183792167506785
2,9000,1.2049512334474146,3.336596359798006,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00013408297789841025
2,10000,1.2026583127779504,3.3289545733920156,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00012632803412175264
3,11000,1.191791836044764,3.292976398002799,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.000118573090345095
3,12000,1.1843974838058835,3.2687167732427125,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00011081814656843738
3,13000,1.19003976656966,3.2687167732427125,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00010306320279177977
3,14000,1.1775234027268136,3.246324400786313,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",9.530825901512215e-05
3,15000,1.1797077124555633,3.246324400786313,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",8.755331523846453e-05
4,16000,1.178331987064791,3.248950389376331,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",7.979837146180691e-05
4,17000,1.1694816258059788,3.2203228735102987,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",7.204342768514929e-05
4,18000,1.1721555783273014,3.2203228735102987,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",6.428848390849167e-05
4,19000,1.167041293077477,3.2124737952822238,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",5.653354013183405e-05
4,20000,1.1686662320200711,3.2124737952822238,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",4.877859635517643e-05
4,21000,1.1640833373857689,3.20298548006118,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",4.102365257851881e-05
5,22000,1.1596452242452395,3.188801765858586,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",3.3268708801861186e-05
5,23000,1.1628321742460335,3.188801765858586,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",2.5513765025203567e-05
5,24000,1.1588749973333046,3.186346610556416,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",1.775882124854595e-05
5,25000,1.160051125752395,3.186346610556416,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",1.000387747188833e-05
5,26000,1.1586206273163018,3.1855362025910257,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",2.24893369523071e-06
