epoch,train_step,valid_loss,best_val_ppl,optimizer,lr
1,1000,1.5932504050433636,4.919714031043721,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.0001961225281116712
1,2000,1.4475748794127816,4.252788474400239,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00018836758433501358
1,3000,1.425801826360291,4.161193059730424,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00018061264055835595
1,4000,1.3790609932007039,3.971170919694117,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00017285769678169834
1,5000,1.3531386042906814,3.869551482346312,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00016510275300504073
2,6000,1.338858649849075,3.814687126035115,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.0001573478092283831
2,7000,1.3162935601725971,3.7295722924317634,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.0001495928654517255
2,8000,1.2953362976749465,3.652224002078511,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00014183792167506785
2,9000,1.2963744763744205,3.652224002078511,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00013408297789841025
2,10000,1.283735287311959,3.6100993303980116,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00012632803412175264
3,11000,1.2853628165815791,3.6159796566279887,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.000118573090345095
3,12000,1.2705253281515756,3.562723669879834,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00011081814656843738
3,13000,1.2783331497483057,3.562723669879834,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",0.00010306320279177977
3,14000,1.2699790235659847,3.5607778691501095,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",9.530825901512215e-05
3,15000,1.259321128872976,3.523028992696681,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",8.755331523846453e-05
4,16000,1.2585699180881047,3.5203834491267942,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",7.979837146180691e-05
4,17000,1.2545399661494854,3.5062250210752617,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",7.204342768514929e-05
4,18000,1.2601652337774023,3.5062250210752617,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",6.428848390849167e-05
4,19000,1.2533691841088337,3.502122397897504,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",5.653354013183405e-05
4,20000,1.2522990584934819,3.498376691557023,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",4.877859635517643e-05
4,21000,1.2474415273443884,3.4814244242230763,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",4.102365257851881e-05
5,22000,1.2416525407604975,3.4613287279177336,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",3.3268708801861186e-05
5,23000,1.2420295352907214,3.4613287279177336,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",2.5513765025203567e-05
5,24000,1.2407780189118156,3.458303043526087,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",1.775882124854595e-05
5,25000,1.2397239171478847,3.4546595608258346,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",1.000387747188833e-05
5,26000,1.237819728071559,3.448087495041448,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9)",2.24893369523071e-06
