step;validation_loss;optimizer
0;10.979205131530762;AdamW
1000;5.152109146118164;AdamW
2000;4.168471813201904;AdamW
3000;3.8524246215820312;AdamW
4000;3.675596237182617;AdamW
5000;3.559731960296631;AdamW
6000;3.501579523086548;AdamW
7000;3.455798625946045;AdamW
8000;3.3975794315338135;AdamW
9000;3.355952501296997;AdamW
10000;3.3392670154571533;AdamW
11000;3.3092334270477295;AdamW
12000;3.284790277481079;AdamW
13000;3.277705192565918;AdamW
14000;3.2413430213928223;AdamW
15000;3.2309975624084473;AdamW
16000;3.1994261741638184;AdamW
17000;3.1990091800689697;AdamW
18000;3.174635410308838;AdamW
19000;3.1754889488220215;AdamW
20000;3.167539596557617;AdamW
21000;3.1512441635131836;AdamW
22000;3.1545250415802;AdamW
23000;3.131162643432617;AdamW
24000;3.1227309703826904;AdamW
25000;3.1171069145202637;AdamW
26000;3.1104941368103027;AdamW
27000;3.1063690185546875;AdamW
28000;3.100564956665039;AdamW
29000;3.0867974758148193;AdamW
30000;3.0902037620544434;AdamW
31000;3.085209846496582;AdamW
32000;3.079089879989624;AdamW
33000;3.063943386077881;AdamW
34000;3.070596218109131;AdamW
35000;3.0483083724975586;AdamW
36000;3.0662317276000977;AdamW
37000;3.0456857681274414;AdamW
38000;3.034522771835327;AdamW
39000;3.0298736095428467;AdamW
40000;3.0211377143859863;AdamW
41000;3.020226240158081;AdamW
42000;3.022942543029785;AdamW
43000;3.0109143257141113;AdamW
44000;3.0147058963775635;AdamW
45000;3.0016775131225586;AdamW
46000;2.9977970123291016;AdamW
47000;3.006047248840332;AdamW
48000;2.9842331409454346;AdamW
49000;2.989375352859497;AdamW
50000;3.006969928741455;AdamW
51000;2.9752981662750244;AdamW
52000;2.967334270477295;AdamW
53000;2.9529221057891846;AdamW
54000;2.977720022201538;AdamW
55000;2.958289384841919;AdamW
56000;2.9689276218414307;AdamW
57000;2.962526798248291;AdamW
58000;2.9467978477478027;AdamW
59000;2.945667028427124;AdamW
60000;2.9498026371002197;AdamW
61000;2.9475409984588623;AdamW
62000;2.9484341144561768;AdamW
63000;2.9181385040283203;AdamW
64000;2.934426784515381;AdamW
65000;2.936328172683716;AdamW
66000;2.9212284088134766;AdamW
67000;2.9287073612213135;AdamW
68000;2.9254651069641113;AdamW
69000;2.914489984512329;AdamW
70000;2.9119679927825928;AdamW
71000;2.9068899154663086;AdamW
72000;2.906529188156128;AdamW
73000;2.91194224357605;AdamW
74000;2.908353805541992;AdamW
75000;2.8873555660247803;AdamW
76000;2.8804984092712402;AdamW
77000;2.882878303527832;AdamW
78000;2.8842883110046387;AdamW
79000;2.893871784210205;AdamW
80000;2.8797502517700195;AdamW
81000;2.872295618057251;AdamW
82000;2.874570369720459;AdamW
83000;2.8689119815826416;AdamW
84000;2.8758413791656494;AdamW
85000;2.8577873706817627;AdamW
86000;2.858319044113159;AdamW
87000;2.8647620677948;AdamW
88000;2.8537845611572266;AdamW
89000;2.865041494369507;AdamW
90000;2.852823257446289;AdamW
91000;2.864297389984131;AdamW
92000;2.8665971755981445;AdamW
93000;2.848710536956787;AdamW
94000;2.8470208644866943;AdamW
95000;2.8521595001220703;AdamW
96000;2.855617046356201;AdamW
97000;2.8571062088012695;AdamW
98000;2.8429224491119385;AdamW
99000;2.8437395095825195;AdamW
100000;2.852072238922119;AdamW
