step;validation_loss;optimizer
0;10.979205131530762;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
1000;5.785740852355957;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
2000;4.883668899536133;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
3000;4.146368026733398;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
4000;3.8169305324554443;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
5000;3.647907018661499;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
6000;3.5514256954193115;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
7000;3.4787683486938477;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
8000;3.4048233032226562;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
9000;3.3518600463867188;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
10000;3.3204565048217773;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
11000;3.2823944091796875;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
12000;3.2528018951416016;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
13000;3.2396068572998047;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
14000;3.201369524002075;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
15000;3.185342311859131;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
16000;3.1512866020202637;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
17000;3.1491994857788086;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
18000;3.1270668506622314;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
19000;3.1236679553985596;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
20000;3.1162614822387695;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
21000;3.099257707595825;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
22000;3.1005053520202637;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
23000;3.0754706859588623;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
24000;3.0715878009796143;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
25000;3.0608878135681152;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
26000;3.056335210800171;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
27000;3.0570173263549805;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
28000;3.0535526275634766;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
29000;3.041355848312378;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
30000;3.0443596839904785;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
31000;3.0423667430877686;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
32000;3.0385773181915283;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
33000;3.029959201812744;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
34000;3.0366547107696533;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
35000;3.017299175262451;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
36000;3.0340518951416016;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
37000;3.0165374279022217;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
38000;3.0064191818237305;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
39000;3.0078723430633545;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
40000;2.9974184036254883;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
41000;2.9991345405578613;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
42000;3.004412889480591;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
