step;validation_loss;optimizer
0;10.979205131530762;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
1000;5.856572151184082;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
2000;4.894289016723633;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
3000;4.1028056144714355;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
4000;3.8042609691619873;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
5000;3.6344399452209473;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
6000;3.5408835411071777;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
7000;3.467071294784546;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
8000;3.3950366973876953;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
9000;3.3435885906219482;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
10000;3.3154304027557373;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
11000;3.278425931930542;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
12000;3.250117778778076;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
13000;3.2382102012634277;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
14000;3.19566011428833;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
15000;3.181445837020874;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
16000;3.1492068767547607;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
17000;3.1468231678009033;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
18000;3.123347282409668;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
19000;3.1189727783203125;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
20000;3.1104166507720947;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
21000;3.092564105987549;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
22000;3.093714714050293;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
23000;3.069002151489258;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
24000;3.061901330947876;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
25000;3.0527169704437256;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
26000;3.04604434967041;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
27000;3.0431301593780518;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
28000;3.037114143371582;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
29000;3.022592067718506;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
30000;3.0248420238494873;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
31000;3.0218605995178223;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
32000;3.0133776664733887;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
33000;3.0023627281188965;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
34000;3.006101369857788;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
35000;2.9831607341766357;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
36000;3.001631736755371;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
37000;2.9823639392852783;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
38000;2.9716718196868896;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
39000;2.965407133102417;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
40000;2.9581847190856934;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
41000;2.9592275619506836;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
42000;2.96087646484375;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
43000;2.9516844749450684;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
44000;2.9541878700256348;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
45000;2.9434432983398438;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
46000;2.9380195140838623;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
47000;2.9486453533172607;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
48000;2.9285881519317627;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
49000;2.9326770305633545;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
50000;2.9529659748077393;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
51000;2.9241909980773926;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
52000;2.9137816429138184;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
53000;2.9009957313537598;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
54000;2.927220344543457;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
55000;2.90885066986084;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
56000;2.9204068183898926;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
