step;validation_loss;optimizer
0;10.890158653259277;AdamW
1000;5.218913555145264;AdamW
2000;4.393359184265137;AdamW
3000;4.1496968269348145;AdamW
4000;4.008243560791016;AdamW
5000;3.963254928588867;AdamW
6000;3.9350202083587646;AdamW
7000;3.8903708457946777;AdamW
8000;3.865887403488159;AdamW
9000;3.841930627822876;AdamW
10000;3.8323557376861572;AdamW
11000;3.808610200881958;AdamW
12000;3.771456241607666;AdamW
13000;3.7948403358459473;AdamW
14000;3.78360652923584;AdamW
15000;3.7756078243255615;AdamW
16000;3.740821599960327;AdamW
17000;3.7358007431030273;AdamW
18000;3.751718521118164;AdamW
19000;3.7429821491241455;AdamW
20000;3.7238192558288574;AdamW
21000;3.7314236164093018;AdamW
22000;3.733356237411499;AdamW
23000;3.7262802124023438;AdamW
24000;3.7349443435668945;AdamW
25000;3.7265026569366455;AdamW
26000;3.719167470932007;AdamW
27000;3.7037513256073;AdamW
28000;3.699723482131958;AdamW
29000;3.697134494781494;AdamW
30000;3.700911045074463;AdamW
31000;3.6943347454071045;AdamW
32000;3.7046751976013184;AdamW
33000;3.6827144622802734;AdamW
34000;3.713388681411743;AdamW
35000;3.659308433532715;AdamW
36000;3.6797232627868652;AdamW
37000;3.6739163398742676;AdamW
38000;3.663282871246338;AdamW
39000;3.682129144668579;AdamW
40000;3.6587483882904053;AdamW
41000;3.662825345993042;AdamW
42000;3.6645493507385254;AdamW
43000;3.676276922225952;AdamW
44000;3.675722360610962;AdamW
45000;3.652369737625122;AdamW
46000;3.6634044647216797;AdamW
47000;3.65986704826355;AdamW
48000;3.656588077545166;AdamW
49000;3.6428070068359375;AdamW
50000;3.6438066959381104;AdamW
51000;3.6525087356567383;AdamW
52000;3.6319854259490967;AdamW
53000;3.652015447616577;AdamW
54000;3.6511011123657227;AdamW
55000;3.632215976715088;AdamW
56000;3.634528875350952;AdamW
57000;3.63771390914917;AdamW
58000;3.627964973449707;AdamW
59000;3.6378769874572754;AdamW
60000;3.6243088245391846;AdamW
61000;3.636049270629883;AdamW
62000;3.6204466819763184;AdamW
63000;3.6209943294525146;AdamW
64000;3.6312193870544434;AdamW
65000;3.6069939136505127;AdamW
66000;3.623737096786499;AdamW
67000;3.6137285232543945;AdamW
68000;3.605226993560791;AdamW
69000;3.6038713455200195;AdamW
70000;3.610485792160034;AdamW
71000;3.6054437160491943;AdamW
72000;3.6032166481018066;AdamW
73000;3.5934174060821533;AdamW
74000;3.592665195465088;AdamW
75000;3.6018946170806885;AdamW
76000;3.6047582626342773;AdamW
77000;3.588585615158081;AdamW
78000;3.6024560928344727;AdamW
79000;3.59425687789917;AdamW
80000;3.592996835708618;AdamW
81000;3.601222515106201;AdamW
82000;3.598026990890503;AdamW
83000;3.595771551132202;AdamW
84000;3.5710699558258057;AdamW
85000;3.579991340637207;AdamW
86000;3.5819807052612305;AdamW
87000;3.568234443664551;AdamW
88000;3.5671448707580566;AdamW
89000;3.580950975418091;AdamW
90000;3.58408784866333;AdamW
91000;3.565140724182129;AdamW
92000;3.5842130184173584;AdamW
93000;3.575732469558716;AdamW
94000;3.566223382949829;AdamW
95000;3.586751699447632;AdamW
96000;3.5794689655303955;AdamW
97000;3.5853285789489746;AdamW
98000;3.5687215328216553;AdamW
99000;3.589008092880249;AdamW
100000;3.5702807903289795;AdamW
