step;validation_loss;optimizer
0;10.861961364746094;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
1000;5.594912052154541;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
2000;4.90040397644043;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
3000;4.328208923339844;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
4000;4.0905537605285645;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
5000;3.9715216159820557;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
6000;3.8813974857330322;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
7000;3.853360891342163;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
8000;3.806408643722534;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
9000;3.7717058658599854;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
10000;3.7610924243927;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
11000;3.740255832672119;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
12000;3.721986770629883;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
13000;3.7272820472717285;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
14000;3.716885566711426;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
15000;3.7370190620422363;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
16000;3.7288756370544434;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
17000;3.6850578784942627;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
18000;3.6981985569000244;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
19000;3.6585123538970947;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
20000;3.6556215286254883;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
21000;3.6663756370544434;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
22000;3.637758731842041;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
23000;3.6591238975524902;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
24000;3.6347014904022217;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
25000;3.6263132095336914;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
26000;3.62508487701416;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
27000;3.6178483963012695;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
28000;3.6317224502563477;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
29000;3.6184256076812744;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
30000;3.5972976684570312;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
31000;3.6323583126068115;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
32000;3.59940767288208;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
33000;3.5764238834381104;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
34000;3.6046385765075684;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
35000;3.573251247406006;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
36000;3.6116585731506348;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
37000;3.598656415939331;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
38000;3.5960946083068848;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
39000;3.5919127464294434;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
40000;3.5743114948272705;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
41000;3.589275598526001;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
42000;3.575810432434082;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
43000;3.5777475833892822;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
44000;3.55448579788208;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
45000;3.5911073684692383;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
46000;3.570608615875244;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
47000;3.5408172607421875;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
48000;3.5678622722625732;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
49000;3.550949811935425;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
50000;3.558128595352173;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
51000;3.54622220993042;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
52000;3.5524847507476807;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
53000;3.534367084503174;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
54000;3.5569610595703125;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
55000;3.532186269760132;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
56000;3.5457684993743896;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
57000;3.549679756164551;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
58000;3.533430576324463;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
59000;3.510934829711914;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
60000;3.532711982727051;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
61000;3.547928810119629;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
62000;3.5127737522125244;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
63000;3.515507221221924;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
64000;3.518359899520874;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
65000;3.5276377201080322;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
66000;3.5195770263671875;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
67000;3.513347864151001;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
68000;3.5215680599212646;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
69000;3.509615898132324;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
70000;3.511784315109253;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
71000;3.513192653656006;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
72000;3.519387722015381;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
73000;3.499157190322876;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
74000;3.4975998401641846;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
75000;3.4806737899780273;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
76000;3.497133493423462;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
77000;3.4758141040802;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
