step;validation_loss;optimizer
0;10.911686897277832;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
1000;5.655115127563477;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
2000;4.704888820648193;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
3000;4.082957744598389;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
4000;3.847658157348633;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
5000;3.713085651397705;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
6000;3.6157431602478027;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
7000;3.5436556339263916;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
8000;3.5020127296447754;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
9000;3.450166940689087;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
10000;3.4229912757873535;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
11000;3.3942365646362305;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
12000;3.3703458309173584;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
13000;3.3616247177124023;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
14000;3.3340418338775635;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
15000;3.3234593868255615;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
16000;3.298447370529175;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
17000;3.279653310775757;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
18000;3.274048089981079;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
19000;3.263338088989258;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
20000;3.241929531097412;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
21000;3.2350921630859375;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
22000;3.2282373905181885;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
23000;3.223583459854126;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
24000;3.2265076637268066;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
25000;3.2003252506256104;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
26000;3.209965467453003;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
27000;3.206727981567383;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
28000;3.1891825199127197;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
29000;3.1874804496765137;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
30000;3.192660331726074;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
31000;3.1747610569000244;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
32000;3.170660972595215;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
33000;3.1630523204803467;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
34000;3.1577112674713135;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
35000;3.155197858810425;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
36000;3.1526613235473633;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
37000;3.158139705657959;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
38000;3.1528007984161377;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
39000;3.1356656551361084;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
40000;3.1322388648986816;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
41000;3.1290442943573;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
