step;validation_loss;optimizer
0;10.911686897277832;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
1000;5.695857048034668;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
2000;4.847357273101807;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
3000;4.233529567718506;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
4000;4.071420669555664;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
5000;3.8157315254211426;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
6000;3.7141764163970947;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
7000;3.638946533203125;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
8000;3.5964438915252686;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
9000;3.542008638381958;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
10000;3.5090689659118652;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
11000;3.484830617904663;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
12000;3.455247163772583;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
13000;3.4422476291656494;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
14000;3.4090654850006104;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
15000;3.4088122844696045;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
16000;3.3829660415649414;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
17000;3.3586792945861816;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
18000;3.35551118850708;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
19000;3.3476428985595703;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
20000;3.320516347885132;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
21000;3.315650224685669;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
22000;3.3044321537017822;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
23000;3.3030898571014404;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
24000;3.306414842605591;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
25000;3.2787024974823;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
26000;3.295438289642334;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
27000;3.2874820232391357;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
28000;3.2689926624298096;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
29000;3.268367290496826;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
30000;3.2695324420928955;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
31000;3.248504877090454;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
32000;3.2434210777282715;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
33000;3.2389159202575684;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
34000;3.231492042541504;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
35000;3.2305972576141357;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
36000;3.2239012718200684;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
37000;3.2289886474609375;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
38000;3.2220888137817383;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
39000;3.2054052352905273;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
40000;3.2026467323303223;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
41000;3.1983470916748047;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
42000;3.1880080699920654;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
43000;3.1835596561431885;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
44000;3.182745933532715;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
45000;3.1878137588500977;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
46000;3.164874315261841;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
47000;3.165299415588379;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
48000;3.163555383682251;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
49000;3.166569232940674;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
50000;3.1501801013946533;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
51000;3.169224739074707;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
52000;3.157883644104004;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
53000;3.1282784938812256;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
54000;3.138059616088867;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
55000;3.129807233810425;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
56000;3.1310906410217285;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
57000;3.1238884925842285;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
58000;3.133537530899048;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
59000;3.125056505203247;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
60000;3.1060285568237305;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
61000;3.108271598815918;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
62000;3.091884136199951;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
