,lr,weight_decay,train_loss,test_acc
0,0.001,0.001,0.0003476292685132192,91.45
1,0.005,1.0,0.6214540393456168,78.9
2,0.0005,0.01,0.0005451552905722105,91.16
3,0.001,0.0,0.0005854587662908712,91.57
4,0.005,0.0001,0.0006522412621969989,91.48
5,0.01,0.001,0.0005735476868586977,91.72
6,0.005,0.01,0.0004032873763752346,92.1
7,0.01,0.01,0.0009422539023409412,92.32
8,0.0005,1.0,0.002625665129751891,93.06
9,0.0001,0.0,0.0022610145049680873,88.0
10,0.0001,0.001,0.002150075977387251,87.87
11,0.0005,0.1,0.0004000006043134838,91.9
12,0.005,0.1,0.002640764171331603,92.87
13,0.0001,0.0001,0.0026102940544735103,87.52
14,0.0005,0.0,0.0004562515183640367,91.59
15,0.0001,0.1,0.0017722999134100676,88.48
16,0.001,0.1,0.0005892651762756648,92.47
17,0.01,0.1,0.02880392008391983,91.47
18,0.01,1.0,1.2381828556890073,57.54
19,0.001,0.01,0.0004911085092924185,91.84
20,0.0001,0.01,0.0018292530719108957,87.85
21,0.0005,0.0001,0.0006390179344319633,91.55
22,0.01,0.0,0.0009798080258737,91.63
23,0.005,0.001,0.0005302161690667356,91.45
24,0.01,0.0001,0.0008031242041618467,91.34
25,0.0001,1.0,0.0014425489795156052,91.75
26,0.0005,0.001,0.0005989087254944104,91.41
27,0.001,0.0001,0.0007145701492493728,91.3
28,0.001,1.0,0.01069871946434488,92.28
29,0.005,0.0,0.0005159490638367174,91.57
