,lr,weight_decay,train_loss,test_acc
20,0.005,0.1,0.0007723524345330625,91.47
8,0.0005,0.1,0.00022640645131930944,91.08
3,0.001,0.01,0.00017896199004177775,90.97
15,0.01,0.1,0.005259738680214635,90.97
23,0.001,0.1,0.0002536109920528157,90.91
21,0.001,0.0,0.00022016980021214054,90.86
19,0.005,0.001,0.00025735902934624096,90.73
1,0.001,0.001,0.0003087489360553969,90.68
13,0.0005,0.001,0.0004090469550883612,90.55
7,0.0005,0.01,0.0002347176302443623,90.54
14,0.005,0.0001,0.0002081989263398536,90.47
9,0.005,0.01,0.000271704763175579,90.32
22,0.001,0.0001,0.00015461460479223067,90.28
0,0.0005,0.0001,0.00021271547871965966,90.18
6,0.01,0.001,0.0005379322129605398,90.16
5,0.01,0.0001,0.0003068929747685184,90.14
16,0.005,0.0,0.0001759990422787727,90.0
4,0.01,0.01,0.0006481382380656566,89.81
10,0.01,0.0,0.00046848062166710794,89.73
2,0.0005,0.0,0.0001631525693838108,89.69
17,0.0001,0.01,0.0008407560386628148,87.33
11,0.0001,0.0,0.0009081621780324542,87.29
18,0.0001,0.1,0.0008349362552155294,87.19
24,0.0001,0.0001,0.0009711213353177894,87.14
12,0.0001,0.001,0.0008376646973727252,86.84
