alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.1,0.5,0.001,0.0,0.08872322299593717,87.81,96.83
0.1,0.9,0.001,0.0,0.10430429223924875,87.87,96.452
0.1,1.0,0.001,0.0,0.1095457923484548,87.89,96.124
0.5,0.5,0.001,0.0,0.11004264261193421,86.89,96.18
0.5,0.1,0.001,0.0,0.12026706434862346,86.32,95.784
0.9,0.1,0.001,0.0,0.1223180835201804,86.03,95.62
1.0,0.1,0.001,0.0,0.1232325273794027,86.04,95.684
0.5,0.9,0.001,0.0,0.1347569929131744,87.27,95.26
0.1,0.1,0.001,0.0,0.13597036936149307,85.77,95.188
0.9,0.5,0.001,0.0,0.13832892507922892,85.38,95.174
0.1,1.5,0.001,0.0,0.13871781227692048,86.86,95.142
0.5,1.0,0.001,0.0,0.1456836160956597,87.05,94.892
0.1,2.0,0.001,0.0,0.162535891507049,86.2,94.256
0.1,2.5,0.001,0.0,0.17558928793866416,85.78,93.918
0.9,0.9,0.001,0.0,0.17664609993903005,85.84,93.842
0.9,1.0,0.001,0.0,0.18456894645885547,84.98,93.574
0.5,1.5,0.001,0.0,0.184590327648484,85.61,93.59
0.1,3.0,0.001,0.0,0.18532941072266929,86.59,93.59
0.1,3.5,0.001,0.0,0.19752636316175365,84.89,93.146
0.5,2.0,0.001,0.0,0.20509197144788138,84.65,92.89
0.1,4.0,0.001,0.0,0.20523033777669986,85.29,92.856
0.5,2.5,0.001,0.0,0.2261227715228285,82.92,92.12
0.9,1.5,0.001,0.0,0.23525435123972746,83.86,91.792
0.5,3.0,0.001,0.0,0.2363270924483635,83.74,91.982
0.5,3.5,0.001,0.0,0.25825476562794375,83.09,91.08
0.5,4.0,0.001,0.0,0.2672686824689106,83.42,90.864
0.9,2.0,0.001,0.0,0.26834667356190633,82.96,90.64
0.9,2.5,0.001,0.0,0.2857330337318839,83.08,90.25
0.9,3.0,0.001,0.0,0.30913235239532527,80.22,89.276
0.9,3.5,0.001,0.0,0.3208525573112527,81.94,88.91
0.9,4.0,0.001,0.0,0.3320390344882498,79.67,88.502
