alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.1,0.5,0.001,0.0,0.08872322299593717,87.81,96.83
0.1,0.9,0.001,0.0,0.10430429223924875,87.87,96.452
0.1,1.0,0.001,0.0,0.1095457923484548,87.89,96.124
0.5,0.5,0.001,0.0,0.11004264261193421,86.89,96.18
0.5,0.1,0.001,0.0,0.12026706434862346,86.32,95.784
0.9,0.1,0.001,0.0,0.1223180835201804,86.03,95.62
1.0,0.1,0.001,0.0,0.1232325273794027,86.04,95.684
1.5,0.1,0.001,0.0,0.12638966830409304,86.02,95.494
0.5,0.9,0.001,0.0,0.1347569929131744,87.27,95.26
0.1,0.1,0.001,0.0,0.13597036936149307,85.77,95.188
2.0,0.1,0.001,0.0,0.13799939120226368,85.9,95.218
0.9,0.5,0.001,0.0,0.13832892507922892,85.38,95.174
0.1,1.5,0.001,0.0,0.13871781227692048,86.86,95.142
0.5,1.0,0.001,0.0,0.1456836160956597,87.05,94.892
1.0,0.5,0.001,0.0,0.14621139561035196,85.91,94.892
2.5,0.1,0.001,0.0,0.15257847176066466,85.0,94.708
0.1,2.0,0.001,0.0,0.162535891507049,86.2,94.256
3.0,0.1,0.001,0.0,0.1637490257829884,84.81,94.28
3.5,0.1,0.001,0.0,0.17418777528313958,84.32,93.816
0.1,2.5,0.001,0.0,0.17558928793866416,85.78,93.918
1.5,0.5,0.001,0.0,0.17568841188841935,83.96,93.85
0.9,0.9,0.001,0.0,0.17664609993903005,85.84,93.842
0.9,1.0,0.001,0.0,0.18456894645885547,84.98,93.574
0.5,1.5,0.001,0.0,0.184590327648484,85.61,93.59
0.1,3.0,0.001,0.0,0.18532941072266929,86.59,93.59
1.0,0.9,0.001,0.0,0.18755354452878237,85.87,93.458
4.0,0.1,0.001,0.0,0.1907796796639355,83.66,93.242
1.0,1.0,0.001,0.0,0.19736357888548958,84.92,92.992
0.1,3.5,0.001,0.0,0.19752636316175365,84.89,93.146
0.5,2.0,0.001,0.0,0.20509197144788138,84.65,92.89
0.1,4.0,0.001,0.0,0.20523033777669986,85.29,92.856
2.0,0.5,0.001,0.0,0.2071759825458332,83.96,92.708
0.5,2.5,0.001,0.0,0.2261227715228285,82.92,92.12
0.9,1.5,0.001,0.0,0.23525435123972746,83.86,91.792
0.5,3.0,0.001,0.0,0.2363270924483635,83.74,91.982
1.5,0.9,0.001,0.0,0.2390566909951823,82.59,91.706
2.5,0.5,0.001,0.0,0.24050331362808236,83.37,91.58
1.0,1.5,0.001,0.0,0.24374019901971428,84.01,91.556
1.5,1.0,0.001,0.0,0.24733617263180868,81.36,91.378
0.5,3.5,0.001,0.0,0.25825476562794375,83.09,91.08
0.5,4.0,0.001,0.0,0.2672686824689106,83.42,90.864
0.9,2.0,0.001,0.0,0.26834667356190633,82.96,90.64
3.0,0.5,0.001,0.0,0.27568522422593467,81.85,90.304
2.0,0.9,0.001,0.0,0.278656400131936,82.17,90.302
1.0,2.0,0.001,0.0,0.27966616450980003,83.81,90.332
0.9,2.5,0.001,0.0,0.2857330337318839,83.08,90.25
3.5,0.5,0.001,0.0,0.2970032036608579,82.52,89.59
1.0,2.5,0.001,0.0,0.29940733191918356,81.22,89.624
2.0,1.0,0.001,0.0,0.3003302638475992,81.89,89.41
1.5,1.5,0.001,0.0,0.3075341687214618,81.96,89.266
0.9,3.0,0.001,0.0,0.30913235239532527,80.22,89.276
2.5,0.9,0.001,0.0,0.31360080055132206,77.5,89.136
4.0,0.5,0.001,0.0,0.31859287703219724,79.52,88.908
0.9,3.5,0.001,0.0,0.3208525573112527,81.94,88.91
1.0,3.0,0.001,0.0,0.3249391216252531,81.71,88.856
2.5,1.0,0.001,0.0,0.3312610780858264,80.98,88.56
0.9,4.0,0.001,0.0,0.3320390344882498,79.67,88.502
1.0,3.5,0.001,0.0,0.33684705425890127,79.87,88.54
1.0,4.0,0.001,0.0,0.34003517586661847,80.33,88.312
1.5,2.0,0.001,0.0,0.3414695441570817,81.54,88.17
3.0,0.9,0.001,0.0,0.3483723944091067,82.07,87.964
2.0,1.5,0.001,0.0,0.3533869158400565,76.35,87.812
1.5,2.5,0.001,0.0,0.3747630978421289,78.59,87.132
3.5,0.9,0.001,0.0,0.3751705119348302,79.59,86.938
3.0,1.0,0.001,0.0,0.37572187322134876,79.01,86.828
1.5,3.0,0.001,0.0,0.3932863828174922,75.44,86.468
2.5,1.5,0.001,0.0,0.395699999162129,75.8,86.396
3.5,1.0,0.001,0.0,0.399465341044932,76.7,86.036
2.0,2.0,0.001,0.0,0.3997555363695232,75.2,86.088
4.0,0.9,0.001,0.0,0.40899654933992696,75.05,85.856
1.5,3.5,0.001,0.0,0.41129068650153217,74.73,86.01
1.5,4.0,0.001,0.0,0.41695298657429464,72.83,85.74
4.0,1.0,0.001,0.0,0.42255255184611495,77.68,85.212
2.0,2.5,0.001,0.0,0.4296768763843848,76.56,85.2
3.0,1.5,0.001,0.0,0.44247796188811866,73.14,84.746
2.5,2.0,0.001,0.0,0.44791907482609455,79.05,84.392
2.0,3.0,0.001,0.0,0.4523596488395516,70.64,84.42
2.0,3.5,0.001,0.0,0.46240551313575434,71.39,84.198
