epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,6.57376021485058,1.4847497002398082,5.176796063149481,4.502,13.86,4.502,13.86,"AdamW , lr = 0.003, wd = 0.3"
1,6.228245950526566,3.743567645883293,11.173248900879296,8.39,22.046,8.39,22.046,"AdamW , lr = 0.003, wd = 0.3"
2,6.044120132970772,5.68919864108713,15.422661870503598,12.446,29.214,12.446,29.214,"AdamW , lr = 0.003, wd = 0.3"
3,5.825592116486255,8.03169964028777,20.007743804956036,15.748,34.998,15.748,34.998,"AdamW , lr = 0.003, wd = 0.3"
4,5.702221828494236,9.783111011191048,23.133680555555557,18.81,39.646,18.81,39.646,"AdamW , lr = 0.003, wd = 0.3"
5,5.563822578183181,11.690335231814549,26.36390887290168,21.912,43.934,21.912,43.934,"AdamW , lr = 0.003, wd = 0.3"
6,5.469018332392192,13.250961730615508,29.007419064748202,24.208,47.456,24.208,47.456,"AdamW , lr = 0.003, wd = 0.3"
7,5.364333418061693,14.702612909672261,31.39894334532374,26.146,49.808,26.146,49.808,"AdamW , lr = 0.003, wd = 0.3"
8,5.294888638573394,15.862310151878496,33.07010641486811,26.49,50.418,26.49,50.418,"AdamW , lr = 0.003, wd = 0.3"
9,5.273436952647355,16.23732264188649,33.796088129496404,27.642,51.714,27.642,51.714,"AdamW , lr = 0.003, wd = 0.3"
10,5.22567427815865,16.887115307753795,34.71160571542766,28.976,53.016,28.976,53.016,"AdamW , lr = 0.003, wd = 0.3"
11,5.173241560788845,17.549710231814547,35.61806804556355,28.878,53.22,28.976,53.22,"AdamW , lr = 0.003, wd = 0.3"
12,5.190268035510557,17.45790867306155,35.562799760191844,29.494,53.748,29.494,53.748,"AdamW , lr = 0.003, wd = 0.3"
13,5.145867517335619,17.886940447641887,36.26910971223022,28.434,53.282,29.494,53.748,"AdamW , lr = 0.003, wd = 0.3"
14,5.1630604875078205,17.779838629096723,36.10767635891287,29.114,53.74,29.494,53.748,"AdamW , lr = 0.003, wd = 0.3"
15,5.181244382850653,17.60466626698641,35.92313649080735,28.944,53.462,29.494,53.748,"AdamW , lr = 0.003, wd = 0.3"
