epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,6.64689622813468,1.0775754396482813,4.144809152677857,2.904,9.576,2.904,9.576,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
1,6.389778069359698,2.5685701438848922,8.317408573141487,6.334,17.73,6.334,17.73,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
2,6.176312796884685,4.325289768185452,12.52466776578737,9.408,23.684,9.408,23.684,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
3,5.998846532438966,6.279351518784972,16.545201338928855,13.218,30.454,13.218,30.454,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
4,5.7907861024260425,8.731140087929656,21.228329836131095,16.97,36.194,16.97,36.194,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
5,5.65273388779516,10.829461430855316,24.602817745803357,20.828,41.73,20.828,41.73,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
6,5.476684851230954,13.363371802557953,28.826626199040767,25.042,47.308,25.042,47.308,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
7,5.28804153866238,16.01312699840128,33.010466626698644,28.394,51.78,28.394,51.78,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
8,5.151672896149633,18.38935101918465,36.360599020783376,31.886,56.156,31.886,56.156,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
9,5.0351946153800835,20.609762190247803,39.5037095323741,35.44,59.934,35.44,59.934,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
10,4.882540180433473,23.36661920463629,42.93877398081535,38.138,62.674,38.138,62.674,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
11,4.736266703914396,25.70880795363709,46.09593575139888,40.564,65.544,40.564,65.544,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
12,4.674486430333578,27.363734012789767,48.044064748201436,42.644,67.09,42.644,67.09,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
13,4.56865962994375,29.308740507593924,50.23481215027978,44.228,69.114,44.228,69.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
14,4.495511080530717,30.847197242206235,52.151403876898485,46.132,70.668,46.132,70.668,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
15,4.419752521385297,32.48932104316547,53.85347971622702,47.486,71.802,47.486,71.802,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.05"
