epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,4.872278789135364,12.00154858687871,27.459942802073897,24.08,47.794,24.08,47.794,"AdamW , lr = 0.001, wd = 0.01"
1,3.464084632580097,29.161515117336222,53.01724676199589,37.818,64.13,37.818,64.13,"AdamW , lr = 0.001, wd = 0.01"
2,2.9687226721814106,37.15422177234663,61.77831478751797,43.128,69.134,43.128,69.134,"AdamW , lr = 0.001, wd = 0.01"
3,2.7103896942529286,41.64106502787596,66.23580982277377,45.334,70.86,45.334,70.86,"AdamW , lr = 0.001, wd = 0.01"
4,2.5356803963353465,44.64301325012316,69.05729771554846,50.664,75.566,50.664,75.566,"AdamW , lr = 0.001, wd = 0.01"
5,2.419931982756852,46.92280793766152,71.04392242079103,52.06,76.728,52.06,76.728,"AdamW , lr = 0.001, wd = 0.01"
6,2.334351548376855,48.53165236692907,72.35709914702834,53.538,77.926,53.538,77.926,"AdamW , lr = 0.001, wd = 0.01"
7,2.2539483746091324,49.93974248479189,73.63780550233606,54.536,78.688,54.536,78.688,"AdamW , lr = 0.001, wd = 0.01"
8,2.200262275442377,51.046232812177415,74.39992257065428,54.836,78.962,54.836,78.962,"AdamW , lr = 0.001, wd = 0.01"
9,2.151790494447226,51.9963033728385,75.22854145515923,55.56,79.392,55.56,79.392,"AdamW , lr = 0.001, wd = 0.01"
10,2.107146223298796,52.73718981405626,75.82612116377048,56.57,80.3,56.57,80.3,"AdamW , lr = 0.001, wd = 0.01"
11,2.0665201214048174,53.53708490963849,76.48270952717499,57.724,81.346,57.724,81.346,"AdamW , lr = 0.001, wd = 0.01"
12,2.0437923036017023,53.99541668227742,76.81802854818685,57.87,81.088,57.87,81.346,"AdamW , lr = 0.001, wd = 0.01"
13,2.0039837146496082,54.795936207733604,77.46806039412742,58.904,81.692,58.904,81.692,"AdamW , lr = 0.001, wd = 0.01"
14,1.9796495070824256,55.236471719270064,77.82617111885405,58.52,81.688,58.904,81.692,"AdamW , lr = 0.001, wd = 0.01"
15,1.9615046984427698,55.61300313463964,78.03223308730783,59.428,82.322,59.428,82.322,"AdamW , lr = 0.001, wd = 0.01"
16,1.9380135030060501,56.057285226896674,78.40501792105167,59.328,82.106,59.428,82.322,"AdamW , lr = 0.001, wd = 0.01"
17,1.920025959810415,56.49719630827333,78.74720567472644,59.24,82.21,59.428,82.322,"AdamW , lr = 0.001, wd = 0.01"
18,1.893509034557895,56.88746518782538,79.01477401804097,60.412,82.934,60.412,82.934,"AdamW , lr = 0.001, wd = 0.01"
19,1.878068023497289,57.268992044663875,79.24175439872968,60.894,83.39,60.894,83.39,"AdamW , lr = 0.001, wd = 0.01"
20,1.8635176151067943,57.47755173394741,79.49589749344187,60.63,83.076,60.894,83.39,"AdamW , lr = 0.001, wd = 0.01"
21,1.8429089977786495,57.77415608257465,79.84276847329129,60.902,83.35,60.902,83.39,"AdamW , lr = 0.001, wd = 0.01"
22,1.8283457021494132,58.18940217013828,80.00512032693872,61.282,83.632,61.282,83.632,"AdamW , lr = 0.001, wd = 0.01"
23,1.8180857966353485,58.31865922312511,80.22648083547469,61.72,83.88,61.72,83.88,"AdamW , lr = 0.001, wd = 0.01"
24,1.7986299721749275,58.730783160366165,80.4159954040984,61.252,83.628,61.72,83.88,"AdamW , lr = 0.001, wd = 0.01"
25,1.7948871779870559,58.85910356789893,80.49685911567548,61.402,83.818,61.72,83.88,"AdamW , lr = 0.001, wd = 0.01"
26,1.7744383527920558,59.252182383289146,80.75537322126802,61.74,83.914,61.74,83.914,"AdamW , lr = 0.001, wd = 0.01"
27,1.7656763330682532,59.41671974290082,80.88494248978733,62.036,83.942,62.036,83.942,"AdamW , lr = 0.001, wd = 0.01"
28,1.7446432493187927,59.85382088805818,81.19247436694943,62.488,84.59,62.488,84.59,"AdamW , lr = 0.001, wd = 0.01"
29,1.7446144582627416,59.80136875068122,81.20777290645992,62.716,84.778,62.716,84.778,"AdamW , lr = 0.001, wd = 0.01"
30,1.7272644636514303,60.16634820702267,81.48626877907152,62.842,84.718,62.842,84.778,"AdamW , lr = 0.001, wd = 0.01"
31,1.723370161721042,60.26375931947793,81.47659011095155,62.948,84.776,62.948,84.778,"AdamW , lr = 0.001, wd = 0.01"
32,1.7075060552531307,60.62967542117818,81.69389182361559,63.166,84.966,63.166,84.966,"AdamW , lr = 0.001, wd = 0.01"
33,1.693289778056321,60.788905123740804,81.95209371372329,63.554,85.276,63.554,85.276,"AdamW , lr = 0.001, wd = 0.01"
