epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,4.964433214785931,10.941890524860302,25.816442496103097,17.648,38.222,17.648,38.222,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
1,3.607035299495503,26.797734567088323,50.35342749740862,28.328,53.736,28.328,53.736,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
2,3.1221104895318303,34.54379129020926,59.229078465804584,38.91,65.586,38.91,65.586,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
3,2.8527623496689163,39.02251695323249,63.85891623816973,41.762,68.208,41.762,68.208,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
4,2.671685616548483,42.23271264970714,66.91331659784153,44.336,70.398,44.336,70.398,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
5,2.546894106093225,44.47629038473782,68.90306345383543,49.22,74.74,49.22,74.74,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
6,2.4422470246637977,46.46853496151383,70.64772145379195,48.412,73.962,49.22,74.74,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
7,2.353639880117479,48.05552433390226,72.09421402960263,50.486,75.48,50.486,75.48,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
8,2.2912857497488703,49.230077554088844,72.98465150473899,49.08,74.286,50.486,75.48,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
9,2.2432135510754274,50.270378279438546,73.71086383674897,50.748,75.642,50.748,75.642,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
10,2.197307664959819,51.00096162218597,74.47141982931039,52.694,77.158,52.694,77.158,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
11,2.1452941664925347,52.00317210526321,75.31002959780128,54.198,78.61,54.198,78.61,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
12,2.1200358544434463,52.537372147438624,75.63036229431107,53.882,78.256,54.198,78.61,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
13,2.081229255701993,53.20332696381173,76.2635345246509,50.392,74.914,54.198,78.61,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
14,2.0463632584094524,53.903001011243454,76.84519126278198,55.844,79.616,55.844,79.616,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
15,2.017809247398948,54.39598866010923,77.25294418766582,56.69,80.3,56.69,80.3,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
16,1.9999433303808236,54.736303123304616,77.5270690487301,57.234,80.666,57.234,80.666,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
17,1.9743945389956266,55.29672923409705,77.831790990054,57.376,80.778,57.376,80.778,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
18,1.9479628767047847,55.8025177025011,78.23767062479193,56.742,80.328,57.376,80.778,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
19,1.9280169671112959,56.25366852708756,78.54801243864974,57.242,80.534,57.376,80.778,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
20,1.9112732388756493,56.48595656434893,78.84211906616139,57.918,80.976,57.918,80.976,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
21,1.8913942283683725,56.872791077855354,79.09470108459274,59.346,82.21,59.346,82.21,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
22,1.8776053234532877,57.094151586438954,79.26922932757103,59.342,82.276,59.346,82.276,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
23,1.860266801479694,57.452886740515495,79.61110486604679,59.882,82.33,59.882,82.33,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
24,1.8377467426029477,57.92995141909166,79.91832452877213,60.002,82.76,60.002,82.76,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
25,1.830270198484758,58.06951157035826,79.92675433666778,59.482,82.35,60.002,82.76,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
26,1.8179750731298616,58.39640078395086,80.18995166843499,59.94,82.638,60.002,82.76,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
27,1.7977414551791135,58.758258089398055,80.39476477714086,59.96,82.792,60.002,82.792,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
28,1.7899430480989424,58.933410762393216,80.51996303325532,61.694,83.94,61.694,83.94,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
29,1.7786104796649693,59.14727810839231,80.69417906151101,60.368,83.12,61.694,83.94,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
30,1.7613157624369495,59.44450688698878,80.97423600897424,61.054,83.358,61.694,83.94,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
31,1.7494324222430364,59.715197382198006,81.1693704492743,61.506,83.796,61.694,83.94,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
32,1.7341317553739328,60.15698175414934,81.35232849957656,60.934,83.214,61.694,83.94,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
33,1.7229830346383772,60.14043435327117,81.5209246556795,62.02,84.008,62.02,84.008,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
34,1.7044795956049528,60.60001498613442,81.73572864703738,62.39,84.242,62.39,84.242,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
35,1.7015351478274647,60.688059645335215,81.77194559887809,61.784,83.974,62.39,84.242,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
36,1.6859177703028554,61.04866809012934,82.03233299547406,61.298,83.674,62.39,84.242,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
37,1.679672307246453,61.08738276299035,82.10383025432073,62.112,84.214,62.39,84.242,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
38,1.6664736548980157,61.449552283541266,82.26025002137865,63.078,84.656,63.078,84.656,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
39,1.6540085723826459,61.58068262691221,82.45944325755065,62.87,84.47,63.078,84.656,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
40,1.648762774991465,61.73117030709478,82.50284115696743,62.998,84.746,63.078,84.746,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
41,1.6317989349246145,62.13080563975835,82.83160366118233,62.13,84.156,63.078,84.746,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
42,1.6235696050551507,62.33749203851485,82.95992406928677,63.83,85.162,63.83,85.162,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
43,1.6171106142121239,62.32937444548471,82.99645323594537,61.404,83.732,63.83,85.162,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
44,1.6013332922618229,62.74149838243992,83.13819889274743,63.614,85.066,63.83,85.162,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
45,1.5932593902150591,62.880434103499084,83.35144180877728,63.748,85.274,63.83,85.274,"INNAprop, ($\alpha$, $\beta$)= (1.5,1.0), lr = 0.001, wd = 0.01"
