epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,5.238643926054567,8.408577173293606,21.16193972999638,11.316,29.636,11.316,29.636,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
1,4.007334834498006,21.041112484619365,42.90709727373771,20.226,42.752,20.226,42.752,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
2,3.54007741940486,27.668502491381247,51.651930113580626,28.992,54.218,28.992,54.218,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
3,3.264930762682523,32.08853171442912,56.58211881643695,32.57,58.542,32.57,58.542,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
4,3.062704480778087,35.40363168570532,60.18539332811126,34.41,60.45,34.41,60.45,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
5,2.9277573303504663,37.766787806007805,62.62722765476503,34.824,60.366,34.824,60.45,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
6,2.8091842385557864,39.79493711949699,64.59293394762973,41.74,67.712,41.74,67.712,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
7,2.701550129124454,41.66011014939331,66.4780887439258,42.246,68.53,42.246,68.53,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
8,2.6312039846664184,43.004508386002406,67.54118117141815,45.452,70.86,45.452,70.86,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
9,2.553554242069309,44.30082549644839,68.82376081787223,44.292,70.268,45.452,70.86,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
10,2.4922740523512665,45.47412985626774,69.78663219802394,47.27,73.162,47.27,73.162,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
11,2.432120799589586,46.56001398699845,70.81194659872865,48.898,74.178,48.898,74.178,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
12,2.401721351463478,47.18819077558349,71.29900216052852,40.712,65.898,48.898,74.178,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
13,2.351069706755799,48.12827045287796,72.15134939367827,46.928,72.41,48.898,74.178,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
14,2.3129146838402534,48.750202939674494,72.66587988441474,49.264,74.892,49.264,74.892,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
15,2.2853158901025963,49.3146878468629,73.11827956913022,52.906,77.3,52.906,77.3,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0), lr = 0.001, wd = 0.01"
