epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,5.48973355669599,6.9920572477375975,17.784396737905137,17.072,37.776,17.072,37.776,"sgd , lr = 0.1, wd = 0.0001"
1,3.788836971124807,24.142032894864226,46.932486605638566,26.766,50.964,26.766,50.964,"sgd , lr = 0.1, wd = 0.0001"
2,3.184689701329935,33.19876862363094,58.176601351028765,38.99,65.718,38.99,65.718,"sgd , lr = 0.1, wd = 0.0001"
3,2.901288780346736,37.89823036464921,63.16173991233,39.958,66.234,39.958,66.234,"sgd , lr = 0.1, wd = 0.0001"
4,2.721500185462502,41.02506462833591,66.24829842749418,44.35,71.14,44.35,71.14,"sgd , lr = 0.1, wd = 0.0001"
5,2.6142346216843917,43.03291996053601,68.14094638632712,44.858,71.554,44.858,71.554,"sgd , lr = 0.1, wd = 0.0001"
6,2.5292557607759365,44.452874251863705,69.52499594044141,45.29,71.418,45.29,71.554,"sgd , lr = 0.1, wd = 0.0001"
7,2.4733787298917056,45.43166860230503,70.5000437097334,47.578,73.996,47.578,73.996,"sgd , lr = 0.1, wd = 0.0001"
8,2.430890430913462,46.277459318086144,71.13134264916506,47.978,74.678,47.978,74.678,"sgd , lr = 0.1, wd = 0.0001"
9,2.4025169510226863,46.671786994177076,71.68583667403495,49.996,76.11,49.996,76.11,"sgd , lr = 0.1, wd = 0.0001"
10,2.3694167907659587,47.41954216777191,72.09202852397188,49.448,75.466,49.996,76.11,"sgd , lr = 0.1, wd = 0.0001"
11,2.3321935228534514,48.12296279630532,72.79513693687753,47.514,74.126,49.996,76.11,"sgd , lr = 0.1, wd = 0.0001"
12,2.3258711393301064,48.32402932305198,72.85289673154173,50.676,76.708,50.676,76.708,"sgd , lr = 0.1, wd = 0.0001"
13,2.3063307600421505,48.621570316704535,73.26158630202256,53.228,78.444,53.228,78.444,"sgd , lr = 0.1, wd = 0.0001"
14,2.291319295862219,49.003721603655194,73.45578409663035,52.274,78.212,53.228,78.444,"sgd , lr = 0.1, wd = 0.0001"
15,2.2819397756269764,49.11799233175885,73.65185518147933,51.212,77.024,53.228,78.444,"sgd , lr = 0.1, wd = 0.0001"
16,2.270565682596022,49.29970152221792,73.7505151546353,52.234,77.94,53.228,78.444,"sgd , lr = 0.1, wd = 0.0001"
17,2.261880263462886,49.45393578350219,73.93940529257516,49.856,75.686,53.228,78.444,"sgd , lr = 0.1, wd = 0.0001"
18,2.2442870034323588,49.76989746832174,74.23694628575132,53.502,78.612,53.502,78.612,"sgd , lr = 0.1, wd = 0.0001"
19,2.2393080821642273,49.90539882352585,74.29314500489693,50.862,76.058,53.502,78.612,"sgd , lr = 0.1, wd = 0.0001"
20,2.2381140646758255,49.914765276542106,74.3708865656274,53.434,78.66,53.502,78.66,"sgd , lr = 0.1, wd = 0.0001"
21,2.2227587509583997,50.24415221077388,74.44269603986362,53.424,79.126,53.502,79.126,"sgd , lr = 0.1, wd = 0.0001"
